id,name,meal_type,calories,price,protein,carbs,fat,tags
1,Pan francés,desayuno,400,100,,,,"control_calorico,deficit,alto_carbohidrato"
2,Huevo al gusto,desayuno,150,130,,,,"control_calorico,bajo_sodio,cero_azucar,cero_gluten,alto_proteina"
3,Omelet,desayuno,150,130,,,,"control_calorico,cero_gluten,alto_proteina"
4,Sopa de verduras,comida,180,80,,,,"control_calorico,bajo_sodio,cero_gluten,post_operatorio,ligero,vegano"
5,Pollo con verduras,comida,290,130,,,,"control_calorico,bajo_sodio,cero_gluten,post_operatorio,alto_proteina"
6,Pollo a la plancha,comida,380,150,,,,"control_calorico,bajo_sodio,cero_gluten,post_operatorio,alto_proteina"
7,Costillas de res,comida,370,185,,,,"control_calorico,alto_grasa,alto_proteina"
8,Tacos de lechuga (pollo),comida_cena,280,145,,,,"control_calorico,bajo_sodio,cero_gluten,post_operatorio,bajo_carbohidrato,alto_proteina"
9,Ceviche de coliflor,comida,140,90,,,,"control_calorico,bajo_sodio,cero_gluten,vegano,bajo_calorias"
10,Ceviche de carne,comida,290,150,,,,"control_calorico,cero_gluten,alto_proteina"
11,Bowl verde,comida,290,150,,,,"control_calorico,bajo_sodio,alto_proteina,alto_verduras"
12,Ice o Shot,bebida,100,70,,,,"control_calorico,bebida,cero_gluten,sin_azucar_opcional"
,,,,,,,,
13,Emparedado de pavo y espinacas,desayuno,,130,,,,"bajo_sodio,alto_proteina"
14,Huevos a la mexicana,desayuno,,130,,,,"bajo_sodio,cero_gluten,cero_azucar,alto_proteina"
15,Infusión,bebida,40,40,,,,"cero_azucar,cero_gluten,bebida,diabetico"
16,Ice o Shot FRESCO,bebida,70,70,,,,"cero_azucar,cero_gluten,bebida,diabetico"
,,,,,,,,
17,Claras de huevo,desayuno,,130,,,,"post_operatorio,cero_azucar,cero_gluten,alto_proteina"
18,Sopa de verduras (post-op),comida,,80,,,,"post_operatorio,cero_gluten,ligero"
19,Pollo con verduras (post-op),comida,,130,,,,"post_operatorio,alto_proteina"
20,Pollo a la plancha (post-op),comida,,150,,,,"post_operatorio,cero_gluten,alto_proteina"
21,3 Tacos de lechuga (post-op),comida_cena,,145,,,,"post_operatorio,bajo_carbohidrato"
,,,,,,,,
22,Huevos u omelets (cero gluten),desayuno,,130,,,,"cero_gluten,alto_proteina"
23,Sopa de verduras (cero gluten),comida,,80,,,,"cero_gluten,ligero"
24,Pollo con verduras (cero gluten),comida,,130,,,,"cero_gluten,alto_proteina"
25,Pollo a la plancha (cero gluten),comida,,150,,,,"cero_gluten,alto_proteina"
26,Ceviche coliflor (cero gluten),comida,,90,,,,"cero_gluten,vegano,bajo_calorias"
27,Ceviche carne (cero gluten),comida,,150,,,,"cero_gluten,alto_proteina"
28,3 Tacos de lechuga (cero gluten),comida_cena,,145,,,,"cero_gluten,bajo_carbohidrato"
29,Infusión/Shots/Aguas/Licuado natural,bebida,,0,,,,"cero_gluten,bebida"
,,,,,,,,
30,Combo sano 1600 kcal (6 artículos),combo,1600,549,,,,"4_to_go,deficit,para_llevar"
31,Combo fit 1200 kcal (5 artículos),combo,1200,399,,,,"4_to_go,deficit,para_llevar,bajo_calorias"
